"id","trivia"
"/title/tt0058331/trivia/tr0758828","Over 100 glass and matte paintings were used to recreate the London skyline of 1910."
"/title/tt0058331/trivia/tr0774065","Originally Walt Disney had considered Mary Martin, Bette Davis and Angela Lansbury for the part of Mary Poppins, based on the cold characterization portrayed in the P.L. Travers books. Walt Disney Pictures (with songwriters Robert B. Sherman and Richard M. Sherman and co-writer Don DaGradi acting as the studio's sort-of ""advance"" team) first considered Julie Andrews after seeing her on Ed Sullivan's The Ed Sullivan Show (1948) in January 1961 do excerpts from ""Camelot,"" the show she was appearing in on Broadway. About a month later Walt Disney himself went to New York, caught the show and sounded out Julie backstage after the show (the show was of double interest to Disney because his The Sword in the Stone (1963) animated feature was based on the first book of T.H. White's ""The Once and Future King."" ""Camelot"" was based on the fourth book of the same novel). It was at that February 1961 backstage meeting that Disney first sounded Andrews out, essentially acting out the entire script for her. At the time, her then-husband, Tony Walton, was there with them and Disney asked him about his occupation. He said that he was a costume and set designer. Disney invited Andrews to come to California and asked Walton to bring along his portfolio, so he too found a job with the production. While the film was offered to Andrews, she did not commit until the day after Warner Brothers announced that Audrey Hepburn would be doing My Fair Lady (1964) for them."
"/title/tt0058331/trivia/tr0774098","The women to whom Bert recites his comical poems are all characters from the Mary Poppins books, including the short woman with the very tall daughters."
"/title/tt0058331/trivia/tr1081693","The old woman in the park Bert talks to in the beginning of the film (with the two tall daughters) is Mrs. Corry. In the book she ran the sweet shop in the park and in the Broadway show this is where they buy the letters to make the word ""supercalifragilisticexpialidocious"". The shop is mentioned once by Mary Poppins in the film before she and the children make a detour to Uncle Albert's house."
"/title/tt0058331/trivia/tr0774035","The houses on Cherry Tree Lane were built on a diminishing scale, getting smaller as the lane progressed."
"/title/tt0058331/trivia/tr0774017","A song about Admiral Boom was written for the film. Although the song does not appear in the film, the music can be heard in the score."
"/title/tt0058331/trivia/tr0774076","The Sherman Brothers (Robert B. Sherman and Richard M. Sherman) came up with the idea of Mrs. Banks being involved in the suffragette cause to explain why she should be so neglectful of her children."
"/title/tt0058331/trivia/tr0774015","A sequence known as ""The Magic Compass"", consisting of four songs, was dropped from the film in preproduction. One of those songs, ""The Beautiful Briny"", later resurfaced in Bedknobs and Broomsticks (1971). The melody for another song from this sequence, ""The Land of Sand"", was used for ""Trust in Me (The Python's Song)"" in The Jungle Book (1967), using completely different lyrics."
"/title/tt0058331/trivia/tr0774009","Stanley Holloway was originally cast as Admiral Boom, but because he was working on My Fair Lady (1964), he turned it down."
"/title/tt0058331/trivia/tr0774064","Final film of Arthur Treacher."
"/title/tt0058331/trivia/tr0774058","In her 2004 autobiography ""'Tis Herself"", Maureen O'Hara says she pitched the idea to Disney of making a film version of the book ""Mary Poppins"", which was rejected. Soon after, Walt Disney purchased the rights to the book."
"/title/tt0058331/trivia/tr0774023","Walt Disney first attempted to purchase the film rights from P.L. Travers as early as 1938. She rejected his offer, as she didn't believe a film version would do justice to her creation. Another reason for her initial rejection would have been that at that time the Disney studios had not yet produced a live-action film."
"/title/tt0058331/trivia/tr0774063","Many of the nannies in the large queue of applicants for the job at the start of the film were actually men in drag."
"/title/tt0058331/trivia/tr0774032","At the time, it was the most expensive film produced by the Disney Studios, with an estimated budget of $4.4 - $6M. It has since grossed over $102M, and is one of the most profitable movies of the 1960s."
