"instructorName","bio","photo"
"Zeno Adams","Zeno AdamsZeno Adams is Assistant Professor of Finance at the University of St.Gallen. He teaches various courses in real estate markets and spatial econometrics. His classes focus on data analysis and applied econometrics using the free and powerful language R. His research is focused on the spatial interaction and spatial networks between real estate markets, firms, and population flows. His research has been published in various academic journals such as Journal of Financial and Quantitative Analysis, Journal of Banking and Finance, and Real Estate Economics. ","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2017/12/Adams_photo_web-300x300.jpg"
"Francesco Audrino","Francesco AudrinoFrancesco Audrino is Professor of Statistics at the University of St. Gallen, Switzerland. After graduating from the ETH Zürich, he began his research activity in financial statistics as a post-doc of the Swiss national program NCCR FinRisk at the University of Lugano. His actual research focuses on the development of new models for the analysis of univariate and multivariate financial time series, with particular interest in approaches able to handle huge amounts of data. He is the author of different publications in journals like the Journal of the Royal Statistical Society Series B, the Journal of Financial Economics, the Journal of Applied Econometrics, and the Journal of Business and Economic Statistics.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/Francesco-Audrino.png"
"Douglas Baer","Douglas BaerDouglas Baer  is Professor Emeritus in the Faculty of Social Science at the University of Victoria, Canada. He has previously held tenured positions at Western University and the University of Windsor in Canada. His PhD is from the University of Waterloo, Canada. He is a former President of the Canadian Sociological Association. Before his retirement in 2019, Prof. Baer was the Academic Director of the Branch Statistics Canada Research Data Centre at the University of Victoria. He has taught structural equation models at the Inter-University Consortium for Political and Social Research Summer Program in Quantitative Methods in Ann Arbor, Michigan, USA for over 25 years and has also delivered workshops on this topic and on other topics (for example, multilevel models) at universities and government agencies in Canada, the U.S. and Germany. His substantive research interests and areas of publication include voluntary associations and civic engagement, immigrant adaptation and social/economic integration, political belief systems, comparative social values, and social inequality.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/baer_douglas.png"
"Ryan Bakker","Ryan BakkerI received my PhD in political science from the University of North Carolina in 2007. My research focusses on party-voter connections and measurement of political party ideological positions. I am a principal investigator on the Chapel Hill Expert Survey team and a member of the Human Rights Measurement Initiative data team. From 2008-2019, I was a professor of political science at the Unviersity of Georgia. Since 2019, I have been a Reader of Comparative Politics at the University of Essex. Other than party politics, my research interests include Bayesian analysis and measurement theory.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2021/05/Photo_RBakker-300x300.jpg"
"Florent Baty","Florent BatyFlorent Baty received his PhD in Analysis and Modeling of Biological Systems from the University of Lyon (France) in 2003. Between 2004 and 2008, he was a post-doctoral fellow at the University Hospital Basel where his main expertise was the analysis of large genomics data using computational modeling and multivariate statistics. He was appointed senior statistician at the Danish Pediatric Asthma Center of the University Hospital Copenhagen (Denmark) from 2008-2009. Since June 2009 he is Head of Research at the Department of Pulmonary Medicine of the Cantonal Hospital St. Gallen and coordinating the research activities of the department. He has published around 80 publications on topics covering clinical research applied to pulmonary medicine, methodological development, bioinformatics and statistics in medicine. Since 2010, he is a member of the Ethics Committee from Eastern Switzerland (biostatistical expertise). He is currently a candidate for a habilitation at the University of Basel. He teaches or has taught classes in applied statistics, good clinical practices and other biomedical disciplines.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2019/12/florentbaty-300x300.jpg"
"Andrew Bennett","Andrew BennettAndrew Bennett is Professor in the Department of Government at Georgetown University. He has worked in the U.S. Defense Department and the U.S. Senate, and he has written on the U.S. foreign policy process, case study research methods, alliance burden‐sharing, and regional conflicts and peacekeeping. He is, with Alexander George, the co‐author of Case Studies and Theory Development in the Social Sciences (MIT Press, 2005). Together with Colin Elman and David Collier, he is a founder of the Institute for Qualitative and Multimethod Research, now at Syracuse University, and he has taught case study research methods in Argentina, Chile, Germany, Norway, Sweden, and Switzerland.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/Andrew-Bennett.png"
"Damian Borth","Damian BorthDamian Borth is Full Professor of Artificial Intelligence and Machine Learning at the University of St.Gallen, Switzerland. Formerly, he was Director of the Deep Learning Competence Center at the German Research Center for Artificial Intelligence (DFKI) in Kaiserslautern, the Principle Investigator of the NVIDIA AI Lab at the DFKI. Damian‘s research focuses on large-scale multimedia opinion mining applying machine learning and in particular deep learning to mine insights from online media streams. Damian currently serves as a member of the steering group at the VolkswagenStiftung, the review committee at the Baden-Wurttemberg Stiftung, the assessment committee for the Investment Innovation Benchmark (IIB) and several other steering- and program committees of international conferences and workshops. Damian did his postdoctoral research at UC Berkeley and the International Computer Science Institute (ICSI) in Berkeley. He received his PhD from the University of Kaiserslautern and the German Research Center for Artificial Intelligence (DFKI). During that time, Damian stayed as a visiting researcher at the Digital Video and Multimedia Lab at Columbia University.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/01/borth_damian-300x300.jpg"
"Petyo Bonev","Petyo BonevPetyo Bonev wrote a PhD dissertation in econometrics at the University of Mannheim. During this time, he was also a visiting scholar at the University College of London and at CREST in Paris. After he finished his PhD, he took up a position as an assistant professor at the elite technical school Ecole des Mines in Paris where he remained until 2017. Since 2018, Petyo is an assistant professor at the Swiss Institute for Empirical Economic Research (SEW) at the University of St. Gallen. He is also a research fellow at the research institute Ratio in Stockholm and a Vice President of AI and Analytics at the data analytics firm Proof Analytics.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/09/Bonev_Petyo-300x300.jpg"
"Adam M Enders","Adam M. EndersAdam M. Enders is an Assistant Professor of Political Science at the University of Louisville. His research focuses on the role of suspicion and conspiratorial thinking in American mass politics, the influence of core values on political identities and attitudes, and the evolving nature of mass polarization. He earned a Ph.D. in Political Science from Michigan State University in 2016, and a B.A. in Political Science and Public Policy from Albion College in 2011. ","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2019/03/Enders_Bild-300x300.jpg"
"Tasha Fairfield","Tasha FairfieldTasha Fairfield is Associate Professor in the Department of International Development at the London School of Economics. She holds a Ph.D. in political science from the University of California, Berkeley, along with an M.A. in Latin American Studies and an M.S. in physics from Stanford University.  Her first book, Private Wealth and Public Revenue in Latin America: Business Power and Tax Politics (CUP 2015), won the Donna Lee Van Cott Award.  Her methodology articles include “Explicit Bayesian Analysis for Process Tracing” (Political Analysis 2017, with A.E. Charman), which won the American Political Science Association’s Qualitative and Multi Method Research Sage Best Paper Award.  She was a 2017-18 Mellon Foundation Fellow at the Center for Advanced Study in Behavioral Sciences at Stanford University.  Her book (with A.E. Charman), Social Inquiry and Bayesian Inference: Rethinking Qualitative Research, is forthcoming with Cambridge University Press.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/09/Fairfield_head-300x300.jpg"
