"DistributionCenter","Location","Country","Square              Feet","Year              Opened","Description of Operation","NA","type","retailer","zip.x","cleanZip","country","zip.y","city","state","stateAbb","county","lat","lon","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP","dupeLocation"
"T-580","6175 Greenbrier Rd, Madison, Alabama, 35756","","","1,357,500","2000","","distribution","target"," 35756","35756","US",35756,"Madison","Alabama","AL","Madison",34.643,-86.8168,35756,"Limestone County","AL",1083,"H1",FALSE
"T-580","6175 Greenbrier Rd, Madison, Alabama, 35756","","","1,357,500","2000","","distribution","target"," 35756","35756","US",35756,"Madison","Alabama","AL","Madison",34.643,-86.8168,35756,"Madison County","AL",1089,"H1",TRUE
"T-588","25 N 75th Ave, Phoenix, Arizona, 85043","","","1,530,700","June
              2002","","distribution","target"," 85043","85043","US",85043,"Phoenix","Arizona","AZ","Maricopa",33.4491,-112.1972,85043,"Maricopa County","AZ",4013,"H1",FALSE
"T-0553","14750 Miller Avenue, Fontana, California, 92336","","","1,423,000","July
              1987","Phase 1 constructed to 672,000 SF and Phase 2 expansion completed in 1988","distribution","target"," 92336","92336","US",92336,"Fontana","California","CA","San Bernardino",34.1173,-117.4378,92336,"San Bernardino County","CA",6071,"H1",FALSE
"T-0555","2050 East Beamer Street, Woodland, California, 957776","","","1,862,000","1988","Originally constructed to 750,000 SF; Expanded to 1.5 M sq ft. in 2000; and expanded again by 362,000 SF","distribution","target"," 957776","95776","US",95776,"Woodland","California","CA","Yolo",38.6808,-121.7411,95776,"Yolo County","CA",6113,"H1",FALSE
"T-0593","3880 Zachary Ave, Shafter, California, 93263","","","2,100,000","Mar 
              2003","Originally built to 1.7 Million sq ft.; Expanded by 192,000 sq ft. and by 252,000 SF in 2010
               Swisslog Split Case Automation","distribution","target"," 93263","93263","US",93263,"Shafter","California","CA","Kern",35.497,-119.2801,93263,"Kern County","CA",6029,"H1",FALSE
"T-3806","3105 N Mango Ave, Rialto, California, 92377","","","1,850,000","July
              2006","Originally built to 1.5 Million SF  and expanded in 2011
               Swisslog Split Case Automation","distribution","target"," 92377","92377","US",92377,"Rialto","California","CA","San Bernardino",34.1561,-117.4042,92377,"San Bernardino County","CA",6071,"H1",FALSE
"T-0554","34800 United Avenue, Pueblo, Colorado, 81001","","","1,500,000","Apr 
              1986","Originally built to 1.1 M SF and later expanded","distribution","target"," 81001","81001","US",81001,"Pueblo","Colorado","CO","Pueblo",38.2879,-104.5848,81001,"Pueblo County","CO",8101,"H1",FALSE
"T-0556","110 West Jordan Road, Tifton, Georgia, 31794","","","1,560,000","1989","","distribution","target"," 31794","31794","US",31794,"Tifton","Georgia","GA","Tift",31.4639,-83.4999,31794,"Berrien County","GA",13019,"H1",FALSE
"T-0556","110 West Jordan Road, Tifton, Georgia, 31794","","","1,560,000","1989","","distribution","target"," 31794","31794","US",31794,"Tifton","Georgia","GA","Tift",31.4639,-83.4999,31794,"Tift County","GA",13277,"H1",TRUE
"T-3808","1247 Sunbury Rd, Midway, Georgia, 31320","","","1,500,000","Aug 
              2007","","distribution","target"," 31320","31320","US",31320,"Midway","Georgia","GA","Liberty",31.8018,-81.3909,31320,"Liberty County","GA",13179,"H1",FALSE
"T-3809","1115 Macom Dr, DeKalb, Illinois, 60115","","","1,500,000","Aug 
              2006","","distribution","target"," 60115","60115","US",60115,"Dekalb","Illinois","IL","DeKalb",41.9008,-88.7548,60115,"DeKalb County","IL",17037,"H1",FALSE
"T-0559","7551 W Morris, Indianapolis, Indiana, 46231","","","1,470,000","est.
              1998","Replaced Indianapolis a 414,000 SF distribution facility that was obtained through the acquisition of L.S. Ayres & Company","distribution","target"," 46231","46231","US",46231,"Indianapolis","Indiana","IN","Marion",39.7038,-86.3029,46231,"Hendricks County","IN",18063,"H1",FALSE
